%Time	Paddle Displacement	LC1	LC2	WG0	WG1	WG2	WG3
31/08/2023 14.27.37.02838	0.772477	0	0	-302.741	0	0	0
31/08/2023 14.27.37.07838	0.77262	-0.743652	-0.117752	-302.687	-0.0788422	-0.153152	0.328064
31/08/2023 14.27.37.13012	0.772711	-0.578369	-0.104065	-302.487	-0.296402	-0.412003	0.365448
31/08/2023 14.27.37.18012	0.772768	0.0125427	0.0627747	-302.237	0.00617981	-0.29007	0.16539
31/08/2023 14.27.37.23012	0.772508	-0.587769	-0.10173	-302.558	0.172516	-0.183685	-0.0410156
31/08/2023 14.27.37.28012	0.772554	-0.952454	-0.222336	-303.017	-0.0461731	-0.0189667	0.0258789
31/08/2023 14.27.37.33012	0.77267	-0.887207	-0.206329	-302.759	-0.366135	-0.0374298	0.190674
31/08/2023 14.27.37.38012	0.772726	-0.596558	-0.165695	-302.482	-0.102631	-0.40152	0.39592
31/08/2023 14.27.37.43037	0.772721	-0.96228	-0.307419	-302.269	0.00112915	-0.326096	0.289825
31/08/2023 14.27.37.48037	0.772431	-1.40781	-0.43782	-302.422	0.135193	-0.0128326	-0.0730438
31/08/2023 14.27.37.53037	0.772651	-1.02148	-0.300476	-302.791	-0.0424957	-0.0489807	-0.241974
31/08/2023 14.27.37.58037	0.772709	-0.332672	-0.0606537	-302.696	-0.248154	-0.214081	0.233124
31/08/2023 14.27.37.63112	0.772733	0.298187	0.22966	-302.453	-0.190521	-0.308075	0.237656
31/08/2023 14.27.37.68112	0.772614	1.07983	0.459671	-302.099	-0.00474548	-0.298981	0.374268
31/08/2023 14.27.37.73112	0.772464	0.813324	0.55191	-302.513	0.0807495	-0.248947	0.146713
31/08/2023 14.27.37.78112	0.772654	1.25583	0.651367	-303.115	0.0177917	-0.140457	0.0657043
31/08/2023 14.27.37.83262	0.772739	0.909821	0.514648	-303.001	-0.33757	-0.0137329	0.183029
31/08/2023 14.27.37.88262	0.772701	1.66391	0.818283	-302.683	-0.215851	-0.328766	0.450272
31/08/2023 14.27.37.93262	0.772538	1.40482	0.578491	-302.551	-0.0388489	-0.398758	0.116638
31/08/2023 14.27.37.98262	0.772542	1.67087	0.648163	-302.458	0.170593	-0.172302	-0.0811005
31/08/2023 14.27.38.03262	0.772679	0.238922	0.245819	-303.23	0.0505829	0.00328064	-0.0953674
31/08/2023 14.27.38.08262	0.77274	-0.19931	0.145569	-302.794	-0.159546	-0.212845	0.196487
31/08/2023 14.27.38.13387	0.77269	-0.526459	0.043869	-302.507	-0.217148	-0.330139	0.418732
31/08/2023 14.27.38.18387	0.772434	-0.452026	0.0568848	-302.141	-0.165253	-0.317215	0.0266113
31/08/2023 14.27.38.23387	0.772653	-0.850525	-0.135529	-302.319	0.100342	-0.166733	0.0551147
31/08/2023 14.27.38.28387	0.772657	-1.0882	-0.223572	-303.338	0.009552	-0.0783691	0.0578918
31/08/2023 14.27.38.33387	0.77273	-0.493103	0.0310516	-303.299	-0.334198	-0.147156	0.16391
31/08/2023 14.27.38.38387	0.772677	-1.07623	-0.198013	-302.769	-0.284836	-0.436829	0.373657
31/08/2023 14.27.38.43387	0.772451	-1.70435	-0.403992	-302.422	-0.0265656	-0.435349	0.165466
31/08/2023 14.27.38.48387	0.772679	-0.936737	-0.131836	-302.486	0.123581	-0.181946	-0.116272
31/08/2023 14.27.38.53387	0.772705	-1.08276	-0.223465	-302.98	-0.0920105	0.0653992	-0.0975342
31/08/2023 14.27.38.58387	0.772686	-1.53073	-0.420166	-303.055	-0.119522	-0.163513	0.220154
31/08/2023 14.27.38.63387	0.772564	-1.28198	-0.320358	-302.637	-0.21579	-0.182205	0.386871
31/08/2023 14.27.38.68387	0.772573	-1.47992	-0.422485	-302.377	0.0521698	-0.238831	0.296402
31/08/2023 14.27.38.73387	0.772646	-2.10663	-0.552231	-302.735	0.0147095	-0.177063	0.204926
31/08/2023 14.27.38.78387	0.772746	-0.918396	-0.0558777	-302.805	0.0137482	-0.113342	0.0774384
31/08/2023 14.27.38.83387	0.772676	-0.970734	-0.200134	-303.115	-0.356781	-0.00440979	-0.0112
31/08/2023 14.27.38.88387	0.77247	0.159576	0.296127	-302.786	-0.167007	-0.329727	0.294418
31/08/2023 14.27.38.93387	0.772644	0.458679	0.320526	-302.406	-0.102982	-0.403351	0.119476
31/08/2023 14.27.38.98387	0.772689	-0.021637	0.161102	-302.346	0.170807	-0.176651	-0.25444
31/08/2023 14.27.39.03387	0.772722	0.0306702	0.2556	-302.66	-0.0132141	0.0198059	-0.00256348
31/08/2023 14.27.39.08387	0.772684	0.700043	0.51857	-302.697	-0.0444489	-0.285461	0.210266
31/08/2023 14.27.39.13387	0.772421	1.25189	0.773956	-303.018	-0.258041	-0.17038	0.260559
31/08/2023 14.27.39.18387	0.772659	1.55103	0.683884	-302.643	-0.137756	-0.304657	0.359726
31/08/2023 14.27.39.23387	0.772671	0.526825	0.306183	-302.452	0.0427704	-0.226501	0.132889
31/08/2023 14.27.39.28387	0.772752	0.578064	0.428055	-302.806	0.04776	-0.183411	0.0416718
31/08/2023 14.27.39.33487	0.772599	0.270203	0.298859	-303.073	-0.25499	-0.00213623	0.0939941
31/08/2023 14.27.39.38487	0.772499	-0.484314	-0.081131	-302.486	-0.292145	-0.328903	0.28447
31/08/2023 14.27.39.43487	0.77269	-1.03757	-0.165421	-302.591	-0.235626	-0.475311	0.174057
31/08/2023 14.27.39.48487	0.772728	-0.324738	0.0991364	-302.454	0.112411	-0.192596	-0.158691
31/08/2023 14.27.39.53487	0.772702	-0.547607	-0.00198364	-302.802	0.120407	-0.00683594	-0.219299
31/08/2023 14.27.39.58487	0.772447	-0.497833	0.0856628	-302.95	-0.0260773	-0.0820618	0.194489
31/08/2023 14.27.39.63487	0.77263	-0.971985	-0.00492859	-302.737	-0.310059	-0.284073	0.261032
31/08/2023 14.27.39.68487	0.772658	-0.954681	-0.0809784	-302.477	-0.156937	-0.36879	0.300766
31/08/2023 14.27.39.73487	0.772761	-0.926941	-0.0708618	-302.391	0.13916	-0.267532	0.0800934
31/08/2023 14.27.39.78487	0.77268	-1.21436	-0.105988	-302.784	0.239197	-0.13298	-0.0450592
31/08/2023 14.27.39.83512	0.772439	-0.51712	-0.0696106	-302.98	-0.222061	0.00189209	-0.0161743
31/08/2023 14.27.39.88512	0.772651	-1.00928	-0.150803	-302.437	-0.265778	-0.39978	0.298096
31/08/2023 14.27.39.93512	0.772677	-1.31396	-0.251053	-302.301	-0.125015	-0.260345	0.267029
31/08/2023 14.27.39.98512	0.772746	-1.26767	-0.284454	-301.834	0.0684204	-0.289474	-0.129227
31/08/2023 14.27.40.03512	0.772582	-0.791046	-0.124939	-302.469	0.188904	-0.0399628	-0.22049
31/08/2023 14.27.40.08512	0.772511	-0.477295	-0.0229797	-302.891	-0.0440979	-0.141388	0.0817566
31/08/2023 14.27.40.13512	0.77267	0.000640869	0.143829	-302.308	-0.234894	-0.186462	0.367187
31/08/2023 14.27.40.18512	0.772709	-0.0083313	0.122986	-302.507	-0.238876	-0.426071	0.260406
31/08/2023 14.27.40.23612	0.772707	0.215912	0.220016	-302.052	0.0120697	-0.286026	0.0593567
31/08/2023 14.27.40.28612	0.772495	0.615143	0.491714	-303.009	0.27092	-0.172791	0.0658722
31/08/2023 14.27.40.33662	0.772632	1.15198	0.638763	-303.073	-0.0917511	0.0137482	0.0490265
31/08/2023 14.27.40.38662	0.772678	1.45267	0.743713	-302.681	-0.214935	-0.199631	0.400177
31/08/2023 14.27.40.43662	0.772714	0.993347	0.465286	-302.328	-0.339798	-0.337234	0.272034
31/08/2023 14.27.40.48662	0.772714	2.63086	0.914474	-302.456	0.0458221	-0.161499	-0.0276642
31/08/2023 14.27.40.53662	0.772436	1.2738	0.482559	-302.76	0.104874	-0.0380402	0.123123
31/08/2023 14.27.40.58662	0.772641	0.597717	0.353439	-302.975	0.0070343	-0.0437317	-0.0380096
31/08/2023 14.27.40.63662	0.772662	0.0913086	0.167999	-302.622	-0.282822	-0.228546	0.304901
31/08/2023 14.27.40.68662	0.772748	0.39682	0.172089	-302.357	-0.128021	-0.326721	0.382217
31/08/2023 14.27.40.73687	0.772661	-0.181732	-0.0274048	-302.439	0.0252838	-0.236542	0.269699
31/08/2023 14.27.40.78687	0.772446	-0.133881	0.00442505	-302.789	0.151886	-0.170624	-0.135605
31/08/2023 14.27.40.83687	0.772656	-0.800812	-0.266708	-303.015	-0.199142	0.0959473	0.287201
31/08/2023 14.27.40.88687	0.77271	-0.652588	-0.15831	-302.899	-0.344437	-0.30719	0.316208
31/08/2023 14.27.40.93687	0.772736	-1.04855	-0.229218	-302.733	-0.165619	-0.398193	0.331833
31/08/2023 14.27.40.98687	0.772513	-0.394073	0.00498962	-302.486	0.10611	-0.294052	-0.0340576
31/08/2023 14.27.41.03687	0.772589	-1.19601	-0.355042	-302.716	0.196396	-0.0282593	-0.085022
31/08/2023 14.27.41.08687	0.772648	-0.974915	-0.216599	-302.866	0.0212402	-0.0701904	0.106857
31/08/2023 14.27.41.13687	0.772698	-0.999664	-0.248749	-302.795	-0.224838	-0.230057	0.408813
31/08/2023 14.27.41.18687	0.772734	-1.13617	-0.324493	-302.498	-0.2379	-0.387283	0.354416
31/08/2023 14.27.41.23712	0.772466	-1.31271	-0.267502	-302.408	-0.00273132	-0.28717	0.290329
31/08/2023 14.27.41.28712	0.772623	-0.899078	-0.25061	-302.962	0.2099	-0.239182	0.112442
31/08/2023 14.27.41.33737	0.772693	-0.527435	-0.108688	-303.124	0.0106506	-0.113785	0.0112457
31/08/2023 14.27.41.38737	0.772729	-0.154877	0.11525	-302.813	-0.254684	-0.178436	0.319702
31/08/2023 14.27.41.43737	0.772684	0.304657	0.160507	-302.539	-0.197144	-0.40387	0.284973
31/08/2023 14.27.41.48737	0.772435	-0.0101013	0.0762482	-302.632	0.015976	-0.300919	0.1465
31/08/2023 14.27.41.53962	0.772691	0.280365	0.219116	-302.252	0.197296	-0.0499878	-0.425903
31/08/2023 14.27.41.58962	0.772678	0.892426	0.452209	-302.861	0.0798798	-0.143433	0.149719
31/08/2023 14.27.41.63962	0.772721	1.56744	0.750626	-302.785	-0.327866	-0.1931	0.384033
31/08/2023 14.27.41.68962	0.772549	1.51538	0.674744	-302.398	-0.244843	-0.310516	0.354248
31/08/2023 14.27.41.73962	0.772564	1.30545	0.485367	-302.166	-0.0167694	-0.321915	0.394058
31/08/2023 14.27.41.78962	0.772641	0.69397	0.309357	-302.822	0.0683594	-0.098114	0.0432434
31/08/2023 14.27.41.83962	0.772739	0.432007	0.219955	-303.2	0.0236511	-0.143082	0.0410309
31/08/2023 14.27.41.88962	0.772684	-0.358734	-0.129807	-302.927	-0.289154	-0.180069	0.241638
31/08/2023 14.27.41.93962	0.772481	-0.207489	0.0190582	-302.86	-0.345078	-0.383041	0.405167
31/08/2023 14.27.41.98962	0.772624	0.0603333	0.0161438	-302.38	-0.00843811	-0.292007	-0.105225
31/08/2023 14.27.42.03987	0.772648	0.0621643	0.231995	-302.424	0.129684	-0.13385	-0.0630493
31/08/2023 14.27.42.08987	0.772758	-0.682922	-0.21405	-303.085	0.0571289	0.00613403	0.0196228
31/08/2023 14.27.42.14087	0.772633	-0.0951538	0.0791016	-303.092	-0.0881653	-0.212921	0.335587
31/08/2023 14.27.42.19087	0.772491	-0.55127	-0.140411	-302.741	-0.217377	-0.260117	0.249939
31/08/2023 14.27.42.24087	0.772665	-0.872314	-0.216415	-302.441	-0.101303	-0.266495	0.479431
31/08/2023 14.27.42.29087	0.772711	-0.93277	-0.248184	-302.928	0.015564	-0.102859	-0.0463715
31/08/2023 14.27.42.34262	0.772701	-1.11948	-0.237335	-303.313	0.0416107	-0.120178	0.0758972
31/08/2023 14.27.42.39262	0.772535	-1.3815	-0.476074	-302.804	-0.335892	-0.112167	0.228439
31/08/2023 14.27.42.44262	0.77256	-0.765137	-0.241882	-302.612	-0.340607	-0.485321	0.429703
31/08/2023 14.27.42.49262	0.772664	-0.713104	-0.217133	-302.212	0.138641	-0.300781	0.0280609
31/08/2023 14.27.42.54262	0.77272	-0.183502	-0.0163574	-302.451	0.133026	-0.1241	-0.305023
31/08/2023 14.27.42.59262	0.772742	-0.110229	0.0326843	-302.944	0.0967407	-0.00901794	-0.0375061
31/08/2023 14.27.42.64312	0.772441	-0.0791016	0.138687	-302.717	-0.241425	-0.217667	0.408981
31/08/2023 14.27.42.69312	0.772627	-0.0502625	0.083374	-302.533	-0.263565	-0.31839	0.303467
31/08/2023 14.27.42.74312	0.772669	1.29568	0.693878	-302.234	-0.0544739	-0.290268	0.214767
31/08/2023 14.27.42.79312	0.772731	1.97791	0.848526	-302.638	0.12114	-0.21666	0.00637817
31/08/2023 14.27.42.84413	0.772645	1.70309	0.755463	-303.02	0.0209656	-0.117599	-0.0517426
31/08/2023 14.27.42.89413	0.772489	1.58542	0.736191	-303.007	-0.292099	-0.111328	0.251587
31/08/2023 14.27.42.94462	0.772663	1.30438	0.538849	-302.567	-0.267014	-0.30603	0.406967
31/08/2023 14.27.42.99462	0.772688	1.92618	0.761398	-302.275	-0.0686493	-0.307907	0.0124359
31/08/2023 14.27.43.04462	0.772716	0.621155	0.317307	-302.412	0.341354	-0.198059	-0.0743713
31/08/2023 14.27.43.09462	0.772562	0.0530701	0.0727081	-302.705	0.0847168	0.0907593	0.127777
31/08/2023 14.27.43.14687	0.772572	-0.27179	-0.0154877	-302.688	-0.146927	-0.290482	0.0820465
31/08/2023 14.27.43.19687	0.772666	-0.058136	-0.0118408	-302.718	-0.284866	-0.296753	0.263
31/08/2023 14.27.43.24687	0.772703	-0.351562	-0.0261688	-302.081	-0.101532	-0.28418	0.246338
31/08/2023 14.27.43.29687	0.772701	0.0786743	0.0388489	-302.677	0.00878906	-0.226791	0.00579834
31/08/2023 14.27.43.34687	0.772477	-0.0300903	0.168137	-303.076	0.142838	-0.0175171	0.0653076
31/08/2023 14.27.43.39687	0.772628	-0.504944	-0.0406036	-302.865	-0.259384	-0.00892639	0.147629
31/08/2023 14.27.43.44687	0.772721	-0.95401	-0.021347	-302.587	-0.365158	-0.338547	0.302689
31/08/2023 14.27.43.49687	0.772687	-1.47726	-0.360199	-302.185	-0.0220032	-0.337723	0.0844879
31/08/2023 14.27.43.54737	0.772659	-1.40536	-0.322754	-302.326	0.139053	-0.161575	-0.232925
31/08/2023 14.27.43.59737	0.772481	-1.17151	-0.266281	-302.896	0.146271	0.00909424	-0.0119171
31/08/2023 14.27.43.64737	0.772652	-0.740723	-0.00230408	-302.801	-0.291306	-0.138275	0.0426178
31/08/2023 14.27.43.69737	0.7727	-0.934631	-0.216995	-302.717	-0.328613	-0.228897	0.215637
31/08/2023 14.27.43.74914	0.772709	-1.33597	-0.243134	-302.393	-0.102844	-0.299881	0.210739
31/08/2023 14.27.43.79914	0.772587	0.520905	0.355072	-302.526	-0.054718	-0.177002	0.0707855
31/08/2023 14.27.43.84937	0.772531	0.67749	0.47493	-302.947	0.150452	-0.125854	-0.223572
31/08/2023 14.27.43.89937	0.772668	1.69553	0.978256	-302.754	-0.348297	-0.0840912	0.165817
31/08/2023 14.27.43.94937	0.772721	1.62714	1.14148	-302.82	-0.330154	-0.332932	0.221802
31/08/2023 14.27.43.99937	0.772724	0.139557	0.3526	-302.384	-0.0198364	-0.300385	0.0906372
31/08/2023 14.27.44.04987	0.772455	0.755829	0.532593	-302.329	0.246826	-0.203064	-0.28154
31/08/2023 14.27.44.09987	0.772628	0.673462	0.53537	-302.588	0.0234985	-0.0535431	-0.107529
31/08/2023 14.27.44.14987	0.772647	0.970245	0.740784	-302.855	-0.160355	-0.176071	0.128448
31/08/2023 14.27.44.19987	0.77273	1.69553	0.792404	-302.018	-0.152649	-0.147461	0.275116
31/08/2023 14.27.44.24987	0.772713	0.129395	0.361832	-302.01	-0.20314	-0.356583	0.324554
31/08/2023 14.27.44.29987	0.772448	-0.1763	0.195602	-302.228	0.00738525	-0.274551	-0.0771484
31/08/2023 14.27.44.35087	0.772626	-0.4021	0.0683289	-302.907	0.241318	-0.148178	-0.0119934
31/08/2023 14.27.44.40087	0.772762	-0.648376	-0.0561829	-302.859	-0.287125	-0.0647278	0.0150299
31/08/2023 14.27.44.45087	0.772686	-0.344757	0.0530243	-302.574	-0.286957	-0.247177	0.244476
31/08/2023 14.27.44.50087	0.772584	-0.0352173	0.0976868	-302.347	-0.0667877	-0.322479	0.148956
31/08/2023 14.27.44.55087	0.772502	-0.286011	0.0839233	-302.441	0.214951	-0.317322	-0.0933228
31/08/2023 14.27.44.60087	0.772671	-0.702057	-0.0872345	-302.54	0.0803986	-0.0577698	-0.22702
31/08/2023 14.27.44.65337	0.772728	-0.622772	-0.0142822	-302.756	0.0272675	-0.127747	0.149628
31/08/2023 14.27.44.70337	0.772745	-0.755646	-0.135818	-302.433	-0.19603	-0.325226	0.323059
31/08/2023 14.27.44.75337	0.772443	-1.2912	-0.300262	-302.4	-0.175674	-0.47702	0.454819
31/08/2023 14.27.44.80337	0.772588	-1.03574	-0.156769	-302.397	0.0480652	-0.292236	0.0339355
31/08/2023 14.27.44.85337	0.772699	-0.914276	-0.157776	-302.854	0.19133	-0.164246	-0.19989
31/08/2023 14.27.44.90337	0.772738	-0.740845	-0.11792	-302.801	-0.260681	0.035614	0.215286
31/08/2023 14.27.44.95437	0.772667	-0.974701	-0.148376	-302.802	-0.256439	-0.304123	0.195023
31/08/2023 14.27.45.00437	0.77246	-0.162048	-0.00588989	-302.439	-0.0639343	-0.48111	0.282028
31/08/2023 14.27.45.05437	0.772655	-0.304626	-0.0420532	-302.269	0.150284	-0.244705	-0.234802
31/08/2023 14.27.45.10437	0.772688	-0.753723	-0.09758	-302.684	0.129181	-0.0172272	-0.0210724
31/08/2023 14.27.45.15437	0.77273	0.145844	0.204819	-303.105	-0.171463	-0.0415955	0.0453644
31/08/2023 14.27.45.20437	0.772645	1.88177	0.826599	-302.601	-0.24176	-0.262222	0.356445
31/08/2023 14.27.45.25437	0.77246	0.828522	0.40062	-301.989	-0.182556	-0.329865	0.286758
31/08/2023 14.27.45.30437	0.772639	1.18079	0.52504	-302.483	0.00317383	-0.28508	0.0595551
31/08/2023 14.27.45.35437	0.772763	1.73022	0.848633	-302.904	0.275253	-0.202713	-0.134781
31/08/2023 14.27.45.40437	0.772659	1.0788	0.555145	-303.114	-0.260452	0.0273285	0.095993
31/08/2023 14.27.45.45637	0.772499	0.881775	0.38089	-302.802	-0.38855	-0.209091	0.348206
31/08/2023 14.27.45.50637	0.772625	1.18881	0.381592	-302.468	-0.181366	-0.2798	0.22847
31/08/2023 14.27.45.55637	0.77268	0.262634	0.160522	-302.244	0.0732117	-0.210541	-0.0310822
31/08/2023 14.27.45.60637	0.772729	0.320862	0.143707	-302.35	-0.00195312	-0.0903625	-0.102783
31/08/2023 14.27.45.65637	0.772681	0.258759	0.249222	-302.746	-0.0233765	-0.0501251	-0.122986
31/08/2023 14.27.45.70637	0.772443	0.152435	0.101715	-302.532	-0.393631	-0.217285	0.273468
31/08/2023 14.27.45.75637	0.772666	-0.324402	0.00312805	-302.405	-0.166885	-0.312302	0.351837
31/08/2023 14.27.45.80637	0.772683	-0.148621	0.00537109	-302.395	0.0532532	-0.184174	0.203552
31/08/2023 14.27.45.85637	0.772764	-0.913513	-0.158981	-302.359	0.236221	-0.055069	-0.218597
31/08/2023 14.27.45.90637	0.772585	-1.12857	-0.204697	-302.44	-0.133926	-0.0777893	0.119827
31/08/2023 14.27.45.95637	0.772474	-0.885895	-0.0875092	-302.623	-0.366089	-0.172226	0.302963
31/08/2023 14.27.46.00637	0.772656	-0.260193	-0.0539703	-302.131	-0.0965729	-0.346619	0.33461
31/08/2023 14.27.46.05637	0.772707	-0.974762	-0.181091	-302.116	0.141327	-0.292801	-0.168869
31/08/2023 14.27.46.10637	0.772728	-1.02786	-0.248611	-302.626	0.101761	0.0526581	-0.205322
31/08/2023 14.27.46.15737	0.77248	-0.894745	-0.122818	-302.422	0.019104	-0.056427	-0.0928345
31/08/2023 14.27.46.20737	0.77263	-1.12244	-0.367294	-302.457	-0.316925	-0.166916	0.358353
31/08/2023 14.27.46.25737	0.772658	-0.403198	0.00735474	-302.474	-0.271103	-0.216522	0.36232
31/08/2023 14.27.46.30737	0.772695	-0.387878	-0.0314636	-302.147	-0.0279999	-0.23793	-0.0254669
31/08/2023 14.27.46.35787	0.772725	0.490143	0.328491	-302.669	0.149139	-0.235077	-0.0200806
31/08/2023 14.27.46.40787	0.772449	1.7746	0.722809	-302.777	-0.059433	-0.0651245	0.169327
31/08/2023 14.27.46.45862	0.772636	0.908722	0.481323	-302.626	-0.303192	-0.173889	0.246521
31/08/2023 14.27.46.50862	0.772666	1.89014	0.841766	-302.398	-0.152191	-0.484604	0.293747
31/08/2023 14.27.46.55862	0.772792	0.675781	0.482452	-302.344	0.103806	-0.245789	-0.063385
31/08/2023 14.27.46.60862	0.772612	0.837463	0.576263	-302.223	0.037323	-0.0986328	-0.249649
31/08/2023 14.27.46.65912	0.77248	1.16525	0.575912	-302.873	-0.0252686	0.00556946	0.0627441
31/08/2023 14.27.46.70912	0.772655	1.23334	0.512375	-302.314	-0.267609	-0.210373	0.425583
31/08/2023 14.27.46.75912	0.772688	0.148773	0.151382	-302.305	-0.305527	-0.348633	0.305099
31/08/2023 14.27.46.80912	0.772727	0.0852356	0.0769348	-301.93	-0.062149	-0.211243	-0.012558
31/08/2023 14.27.46.85962	0.77259	-0.374878	0.0328217	-302.598	0.0532837	-0.156326	-0.133713
31/08/2023 14.27.46.90962	0.772552	-1.01828	-0.185394	-302.994	-0.21579	0.042099	0.196045
31/08/2023 14.27.46.96187	0.772646	-0.321106	0.091629	-302.95	-0.481659	-0.214447	0.112167
31/08/2023 14.27.47.01187	0.772741	-0.604584	0.0217133	-302.512	-0.208633	-0.374405	0.419571
31/08/2023 14.27.47.06187	0.772668	-0.561462	0.0396423	-302.481	0.0209961	-0.419128	0.0203705
31/08/2023 14.27.47.11187	0.772472	-0.689697	0.0205688	-302.259	0.0749664	-0.0538788	-0.088562
31/08/2023 14.27.47.16187	0.772631	-0.769135	-0.0526733	-302.681	0.0432281	0.023056	-0.0306091
31/08/2023 14.27.47.21187	0.772705	-1.0126	-0.10257	-302.727	-0.0711823	-0.135208	0.303955
31/08/2023 14.27.47.26262	0.772743	-0.813782	-0.115753	-302.431	-0.286789	-0.400208	0.443253
31/08/2023 14.27.47.31262	0.772622	-1.71808	-0.581802	-302.399	-0.00672913	-0.30629	0.0246124
31/08/2023 14.27.47.36363	0.77246	-1.35022	-0.287628	-302.573	0.0771484	-0.202118	-0.0749664
31/08/2023 14.27.47.41364	0.772668	-1.47736	-0.168655	-302.742	-0.134445	-0.121307	0.0429535
31/08/2023 14.27.47.46687	0.772686	-0.412292	-0.0683899	-302.623	-0.200394	-0.00384521	0.319077
31/08/2023 14.27.47.51687	0.772757	0.462311	0.432678	-302.396	-0.119019	-0.356903	0.407806
31/08/2023 14.27.47.56687	0.772487	-0.474243	0.191895	-302.198	0.0329742	-0.318817	0.0666809
31/08/2023 14.27.47.61687	0.772608	1.55899	0.958603	-302.64	0.132263	-0.125946	-0.0111542
31/08/2023 14.27.47.66837	0.772643	1.39194	0.74707	-302.586	-0.027832	-0.00740051	-0.10083
31/08/2023 14.27.47.71837	0.772693	2.21155	1.24968	-302.499	-0.228485	-0.286316	0.220795
31/08/2023 14.27.47.76837	0.772717	0.852722	0.611496	-302.667	-0.188629	-0.212952	0.273499
31/08/2023 14.27.47.81837	0.772484	0.09021	0.353378	-302.203	-0.141006	-0.354019	0.272797
31/08/2023 14.27.47.86913	0.772653	0.623688	0.525452	-302.338	0.18074	-0.280945	0.0251923
31/08/2023 14.27.47.91913	0.772688	-0.150269	0.210205	-302.887	-0.01474	-0.131409	0.102844
31/08/2023 14.27.47.96962	0.772761	0.94989	0.622574	-302.984	-0.199677	0.0219727	0.188766
31/08/2023 14.27.48.01962	0.772606	-0.587708	-0.0935822	-302.794	-0.166885	-0.379883	0.37561
31/08/2023 14.27.48.06962	0.772472	-0.621613	0.0890656	-302.364	-0.101364	-0.265228	0.0349121
31/08/2023 14.27.48.11962	0.772656	0.413635	0.31575	-302.328	0.228714	-0.126556	-0.190155
31/08/2023 14.27.48.17038	0.77269	-0.352753	0.000839233	-302.465	0.0677948	0.0657043	-0.160614
31/08/2023 14.27.48.22038	0.772722	-0.6987	-0.0704803	-302.777	-0.139252	-0.178467	0.272598
31/08/2023 14.27.48.27037	0.7725	-1.20761	-0.164963	-302.432	-0.350037	-0.198318	0.381546
31/08/2023 14.27.48.32037	0.7726	-1.40857	-0.170486	-302.43	0.0845184	-0.328064	0.392746
31/08/2023 14.27.48.37037	0.772674	-0.940247	-0.0290527	-302.426	0.0762177	-0.233047	0.112427
31/08/2023 14.27.48.42037	0.772683	-1.13205	-0.165741	-302.87	0.0458832	-0.0994415	-0.0549011
31/08/2023 14.27.48.47137	0.772726	-1.17694	-0.330887	-302.949	-0.310272	-0.0291901	0.0343475
31/08/2023 14.27.48.52137	0.772457	-1.75558	-0.365295	-302.351	-0.268982	-0.396133	0.486664
31/08/2023 14.27.48.57137	0.772667	-1.41653	-0.338348	-302.151	-0.0792542	-0.398087	0.146912
31/08/2023 14.27.48.62137	0.772702	-1.26816	-0.210907	-302.25	0.178925	-0.137299	-0.208069
31/08/2023 14.27.48.67137	0.7727	-1.03372	-0.228363	-302.656	0.187759	0.0582886	-0.212448
31/08/2023 14.27.48.72137	0.77262	0.303253	0.19072	-302.755	-0.105896	-0.287628	0.317261
31/08/2023 14.27.48.77137	0.7725	-0.00491333	0.183594	-302.554	-0.331467	-0.236359	0.160355
31/08/2023 14.27.48.82137	0.77266	0.761108	0.440491	-302.062	-0.0837402	-0.299744	0.107361
31/08/2023 14.27.48.87137	0.772713	1.58044	0.71875	-302.193	0.044693	-0.310287	-0.119125
31/08/2023 14.27.48.92137	0.772711	1.69434	0.780029	-302.73	0.0656128	-0.0420074	-0.168304
31/08/2023 14.27.48.97287	0.772549	0.894592	0.603317	-302.694	-0.20015	-0.0187836	0.322693
31/08/2023 14.27.49.02287	0.772557	2.33725	0.949539	-302.545	-0.2733	-0.22496	0.525635
31/08/2023 14.27.49.07287	0.772659	1.50815	0.628769	-302.266	-0.00579834	-0.29126	0.0949554
31/08/2023 14.27.49.12287	0.77273	1.89243	0.680817	-302.16	0.143585	-0.164932	-0.0504303
31/08/2023 14.27.49.17287	0.772695	1.90714	0.670364	-302.624	0.0630493	0.0197449	-0.234589
31/08/2023 14.27.49.22287	0.772469	1.13251	0.358292	-302.644	-0.081604	-0.037262	0.135483
31/08/2023 14.27.49.27287	0.772636	0.357544	0.214951	-302.261	-0.215927	-0.129456	0.304352
31/08/2023 14.27.49.32287	0.772684	0.246002	0.111877	-301.964	-0.137482	-0.380966	0.347336
31/08/2023 14.27.49.37337	0.772708	-0.403107	-0.156448	-302.103	0.0439911	-0.244308	0.0612488
31/08/2023 14.27.49.42337	0.77262	-0.165619	-0.107483	-302.501	0.156403	-0.167419	-0.0721893
31/08/2023 14.27.49.47337	0.772516	-0.0741577	0.0245819	-303.081	-0.169952	0.0452423	0.17424
31/08/2023 14.27.49.52337	0.772665	-0.0407715	0.237656	-302.759	-0.18129	-0.297821	0.323242
31/08/2023 14.27.49.57337	0.772711	-0.569672	-0.0540314	-302.441	-0.312027	-0.354309	0.33255
31/08/2023 14.27.49.62337	0.772682	-0.814392	-0.311447	-301.989	0.126862	-0.21347	-0.0590973
31/08/2023 14.27.49.67337	0.772541	-1.24432	-0.331924	-302.622	0.185043	-0.0263062	-0.240158
31/08/2023 14.27.49.72337	0.77259	-0.981934	-0.263367	-302.605	-0.125702	-0.160339	0.0620728
