%Time	Paddle Displacement	LC1	LC2	WG0	WG1	WG2	WG3
31/08/2023 14.33.16.80337	0.772747	1.82693	1.05501	-339.664	14.162	28.8674	20.5183
31/08/2023 14.33.16.85337	0.772418	1.43033	1.00903	-340.664	4.04507	26.2319	25.7437
31/08/2023 14.33.16.90389	0.772616	1.59323	1.01173	-338.536	-5.91339	18.5903	29.1561
31/08/2023 14.33.16.95389	0.772728	1.19928	0.729385	-330.518	-14.4579	7.96915	29.4428
31/08/2023 14.33.17.00537	0.772702	0.97934	0.783218	-319.421	-20.2099	-2.40593	27.6292
31/08/2023 14.33.17.05537	0.772697	4.30954	2.17601	-308.743	-23.372	-11.4077	21.3514
31/08/2023 14.33.17.10537	0.772421	0.881226	0.763962	-295.856	-24.4806	-18.0293	10.7297
31/08/2023 14.33.17.15537	0.77265	-0.448242	0.223877	-286.486	-24.8797	-22.5437	0.606934
31/08/2023 14.33.17.20537	0.772743	-0.569275	0.188919	-278.711	-22.8011	-24.7886	-9.24643
31/08/2023 14.33.17.25537	0.772711	-1.48077	0.00585937	-274.06	-18.0044	-25.0794	-17.366
31/08/2023 14.33.17.30687	0.772506	0.601135	0.612305	-271.961	-12.104	-24.1121	-23.5245
31/08/2023 14.33.17.35687	0.772602	1.19067	0.920166	-272.607	-6.56851	-20.0458	-27.3238
31/08/2023 14.33.17.40687	0.77266	0.989258	0.873672	-277.006	-1.31438	-13.7353	-28.215
31/08/2023 14.33.17.45687	0.772701	0.353485	0.560623	-284.42	2.35495	-7.38069	-27.7228
31/08/2023 14.33.17.50837	0.772716	-0.291382	0.424957	-292.136	4.9926	-1.76823	-24.0907
31/08/2023 14.33.17.55837	0.772434	-0.256042	0.291672	-298.899	6.20976	2.35844	-17.4638
31/08/2023 14.33.17.60837	0.772631	0.0414734	0.42836	-304.123	6.51567	4.90016	-10.0807
31/08/2023 14.33.17.65837	0.772702	-0.903778	0.179764	-306.625	5.89209	5.69305	-3.18588
31/08/2023 14.33.17.70837	0.772686	0.769714	0.412949	-307.855	4.59087	5.42644	1.91029
31/08/2023 14.33.17.75837	0.77268	2.27872	0.986053	-307.825	3.00024	4.92284	5.60306
31/08/2023 14.33.17.80837	0.772479	1.32236	0.649216	-308.867	2.16753	3.85759	7.47098
31/08/2023 14.33.17.85837	0.772638	1.62228	0.871384	-310.28	1.67307	2.74138	8.3056
31/08/2023 14.33.17.90837	0.772674	2.17456	1.23047	-311.29	1.44504	2.37396	8.48117
31/08/2023 14.33.17.95837	0.772716	0.427643	0.528549	-312.925	1.73026	2.29268	8.79626
31/08/2023 14.33.18.00837	0.772603	0.200134	0.418701	-315.891	3.82774	3.10724	8.83289
31/08/2023 14.33.18.05837	0.772551	-0.154297	0.220718	-318.258	7.88525	5.73894	8.64195
31/08/2023 14.33.18.10837	0.772658	-0.83197	0.0646973	-320.461	12.8384	8.90038	8.70058
31/08/2023 14.33.18.15837	0.772723	-0.872833	0.0294952	-321.268	17.159	11.6935	9.24583
31/08/2023 14.33.18.20837	0.772718	1.09137	0.750565	-320.241	20.2731	13.9448	10.2417
31/08/2023 14.33.18.25837	0.772501	2.35034	1.23904	-315.353	21.6132	15.6461	11.474
31/08/2023 14.33.18.30888	0.77258	1.0361	0.766129	-307.16	20.2478	16.4264	12.2033
